# ell D_l^TT D_l^EE D_l^BB D_l^TE C_l^kk
1.330000000000000000e+02 3.395446955819186314e+03 9.907309985165779764e-01 4.954678260013522552e-03 -3.763228284433550641e+01 1.245398688879413561e-07
1.340000000000000000e+02 3.426045965215018896e+03 9.935073895822097434e-01 5.033321849371084206e-03 -3.797064113588552914e+01 1.237968895041061804e-07
1.350000000000000000e+02 3.456638846869864665e+03 9.958061580632312504e-01 5.112728043360143144e-03 -3.829449480648167992e+01 1.230598504685718799e-07
1.360000000000000000e+02 3.487078973279325055e+03 9.976273149158233489e-01 5.192903221870370616e-03 -3.860019637529020997e+01 1.223287567543072692e-07
1.370000000000000000e+02 3.517516741842107422e+03 9.990451281946548523e-01 5.273853832433133930e-03 -3.889003893700265735e+01 1.216035409571308792e-07
1.380000000000000000e+02 3.547879781170709521e+03 9.999853541831860149e-01 5.355586371638110764e-03 -3.916260284856938512e+01 1.208841506137828117e-07
1.390000000000000000e+02 3.578021463661574217e+03 1.000596518520499911e+00 5.438107364608993355e-03 -3.941721110331823752e+01 1.201705901411623746e-07
1.400000000000000000e+02 3.608240699324298930e+03 1.000655866073327571e+00 5.521423344096542188e-03 -3.965467189246110280e+01 1.194627787966715490e-07
1.410000000000000000e+02 3.638242348369367392e+03 1.000237667054549862e+00 5.605540828164012196e-03 -3.987282322899157094e+01 1.187606787581791352e-07
1.420000000000000000e+02 3.668251065053800630e+03 9.994161918882218387e-01 5.690466296676968509e-03 -4.007247344647765175e+01 1.180642522627293231e-07
1.430000000000000000e+02 3.698194479034070355e+03 9.981914548200233606e-01 5.776206167981400366e-03 -4.025368838525345438e+01 1.173734616060731764e-07
1.440000000000000000e+02 3.727925964225516509e+03 9.964892137752850987e-01 5.862766773914429227e-03 -4.041579139101446572e+01 1.166882554230809838e-07
1.450000000000000000e+02 3.757521663917450041e+03 9.944579952128744793e-01 5.950154335167994954e-03 -4.055810587582107729e+01 1.160085963613391006e-07
1.460000000000000000e+02 3.787206234643107109e+03 9.918750439762169524e-01 6.038374936056743400e-03 -4.068069787901544743e+01 1.153344742470757300e-07
1.470000000000000000e+02 3.816536027553480835e+03 9.889631418911618566e-01 6.127434499292321209e-03 -4.078214837805691673e+01 1.146657974298355320e-07
1.480000000000000000e+02 3.845735701044137386e+03 9.855737888609468200e-01 6.217338760860192763e-03 -4.086400866178138358e+01 1.140025828144757645e-07
1.490000000000000000e+02 3.874881402133982647e+03 9.817812527088939367e-01 6.308093244683573610e-03 -4.092485982859021476e+01 1.133447261424636217e-07
1.500000000000000000e+02 3.903752254094972614e+03 9.776598002678036359e-01 6.399703238466101542e-03 -4.096254047207423099e+01 1.126922440353386902e-07
1.510000000000000000e+02 3.932498322995313174e+03 9.731350421451903099e-01 6.492173769378066853e-03 -4.098007844271464961e+01 1.120450734793700993e-07
1.520000000000000000e+02 3.960971292068628827e+03 9.681320173399505791e-01 6.585509581837197153e-03 -4.097601132430261117e+01 1.114031545640073149e-07
1.530000000000000000e+02 3.989319531349686258e+03 9.627983895448171126e-01 6.679715113444478769e-03 -4.094812545349378752e+01 1.107665068292617823e-07
1.540000000000000000e+02 4.017468643884049015e+03 9.571333082991579921e-01 6.774794474749830375e-03 -4.089866259159244777e+01 1.101350320399328754e-07
1.550000000000000000e+02 4.045418490847118392e+03 9.511359213187707828e-01 6.870751429043188592e-03 -4.082689429743433607e+01 1.095087494541710269e-07
1.560000000000000000e+02 4.073020422908052751e+03 9.448053743241804359e-01 6.967589373471270130e-03 -4.073283473773704344e+01 1.088876003182199487e-07
1.570000000000000000e+02 4.100571330337619656e+03 9.381408108675385327e-01 7.065311321685963791e-03 -4.061501299742273119e+01 1.082715519862507836e-07
1.580000000000000000e+02 4.127848311859118439e+03 9.312156284084075475e-01 7.163919888033094471e-03 -4.047418588991773447e+01 1.076605465066946801e-07
1.590000000000000000e+02 4.154851237241526178e+03 9.238804531385257368e-01 7.263417273451396386e-03 -4.031036770493296473e+01 1.070546147511592905e-07
1.600000000000000000e+02 4.181654234884123071e+03 9.162829335558235755e-01 7.363805253077968481e-03 -4.012208764372917358e+01 1.064536483649639995e-07
1.610000000000000000e+02 4.208257179391897807e+03 9.084964590376842786e-01 7.465085165803575507e-03 -3.991084519187024426e+01 1.058576404154905569e-07
1.620000000000000000e+02 4.234585691641095764e+03 9.003716471638747443e-01 7.567257905584488450e-03 -3.967665474196763853e+01 1.052665834503040444e-07
1.630000000000000000e+02 4.260788163834404259e+03 8.919818810392843300e-01 7.670323914576182740e-03 -3.941804559141821329e+01 1.046803955450855259e-07
1.640000000000000000e+02 4.286567453295287123e+03 8.834005403661903122e-01 7.774283178564909275e-03 -3.913651731513782295e+01 1.040990694560582189e-07
1.650000000000000000e+02 4.312220470001144349e+03 8.745524887666953351e-01 7.879135224225071454e-03 -3.882985670079217044e+01 1.035225730469077643e-07
1.660000000000000000e+02 4.337598589104969506e+03 8.655853548555423327e-01 7.984879118145930821e-03 -3.849956337152566022e+01 1.029508742163086296e-07
1.670000000000000000e+02 4.362775957195384763e+03 8.562754820631195418e-01 8.091513467954492694e-03 -3.814639440868943865e+01 1.023839288373973278e-07
1.680000000000000000e+02 4.387529698544930397e+03 8.469932597084696146e-01 8.199036425840043607e-03 -3.776813666206830078e+01 1.018217050741214962e-07
1.690000000000000000e+02 4.412008221346659411e+03 8.374407665742505946e-01 8.307445692628374900e-03 -3.736480468510637110e+01 1.012641949814443457e-07
1.700000000000000000e+02 4.436211423939107590e+03 8.278398707307231819e-01 8.416738525418313022e-03 -3.693789817013053778e+01 1.007113189362353598e-07
1.710000000000000000e+02 4.459990694769883703e+03 8.181896668620780577e-01 8.526911745529223291e-03 -3.648520400857062640e+01 1.001630691843182145e-07
1.720000000000000000e+02 4.483420193598165497e+03 8.084149885932044866e-01 8.637961748715004481e-03 -3.600822191367441860e+01 9.961942575066471847e-08
1.730000000000000000e+02 4.506425570186482219e+03 7.985149208179159741e-01 8.749884516665307199e-03 -3.550696648071569683e+01 9.908032173556078847e-08
1.740000000000000000e+02 4.529155245482274950e+03 7.887855682782493050e-01 8.862675630199443391e-03 -3.498145230969245745e+01 9.854574908734131649e-08
1.750000000000000000e+02 4.551534874039789429e+03 7.789289803955803393e-01 8.976330283429412998e-03 -3.443095144051311962e+01 9.801568773197150051e-08
1.760000000000000000e+02 4.573416097828303464e+03 7.691666507947385600e-01 9.090843299246772688e-03 -3.385547512857629471e+01 9.749008112424639009e-08
1.770000000000000000e+02 4.594948551572755605e+03 7.594216662133416174e-01 9.206209145446585251e-03 -3.325650636365058688e+01 9.696886610437230297e-08
1.780000000000000000e+02 4.616059344714632061e+03 7.499137885133484449e-01 9.322421952189557243e-03 -3.263255453377642823e+01 9.645204645832300674e-08
1.790000000000000000e+02 4.636749844906868930e+03 7.403429798282269436e-01 9.439475529683414440e-03 -3.198361414496069699e+01 9.593955717801270084e-08
1.800000000000000000e+02 4.657169934148270841e+03 7.309289899036517379e-01 9.557363386615365733e-03 -3.131116481875084290e+01 9.543133376290047958e-08
1.810000000000000000e+02 4.677098214913004995e+03 7.216687934408511085e-01 9.676078748663963572e-03 -3.061520103977533225e+01 9.492737936317985377e-08
1.820000000000000000e+02 4.696610316276143749e+03 7.126336149423526667e-01 9.795614577328913206e-03 -2.989423215324699257e+01 9.442760714688320984e-08
1.830000000000000000e+02 4.715633356286197341e+03 7.037461598105170246e-01 9.915963588670938245e-03 -2.914973773742487140e+01 9.393199769634872343e-08
1.840000000000000000e+02 4.734317223085696241e+03 6.950776391989972325e-01 1.003711827183133634e-02 -2.838096966353144524e+01 9.344052013769670860e-08
1.850000000000000000e+02 4.752589037280748926e+03 6.867735136173658272e-01 1.015907090707708973e-02 -2.759015003062137339e+01 9.295311051006738603e-08
1.860000000000000000e+02 4.770078895560630372e+03 6.786896371639336012e-01 1.028181358336914195e-02 -2.677430297539838833e+01 9.246971623826722707e-08
1.870000000000000000e+02 4.787456483068389389e+03 6.709640305118113046e-01 1.040533821542100230e-02 -2.593490798197758096e+01 9.199032839295611105e-08
1.880000000000000000e+02 4.804351898273404913e+03 6.635787688990030242e-01 1.052963655949708081e-02 -2.507344450409001979e+01 9.151486183943203879e-08
1.890000000000000000e+02 4.820692265346881868e+03 6.565678994968476845e-01 1.065470022868189072e-02 -2.418842171222753024e+01 9.104331826551144279e-08
